,0
0,Idaho
1,Michigan
2,Florida
3,West Virginia
4,Arkansas
5,Missouri
6,Mississippi
7,Nebraska
8,Georgia
9,Texas
10,New Mexico
11,Wisconsin
12,California
13,Kentucky
14,Rhode Island
15,Delaware
16,Wyoming
17,Indiana
18,Illinois
19,Arizona
20,Nevada
21,Connecticut
22,Colorado
23,Iowa
24,Washington
25,Montana
26,Louisiana
27,Maine
28,Alabama
29,Hawaii
30,Pennsylvania
31,Minnesota
32,Kansas
